Trait,Value,Trait,Value,Trait,Value,Value
Chain,Tye Dye,Earring,Banana,Texture,Rasta,ad50fcf1652e2457dc7519901fc5655412b6532f089dc0669268aefed411aeb8
Chain,Spiral,Earring,Smile,Texture,Yellow,f44c3370f56f6e908f58973ead219a77a5b7ce616cb2a08fc94604f8c0b825e6
Chain,Gold,Earring,Earth,Texture,OG,3f1df74436e05ce29dd21ee928c403ce35a49dd6d6599828e365527fe76ed4fc
Chain,Moss,Earring,Star,Texture,Rainbow,caed579c2b80232afe03fd71af0aa30ec095ed61736593967aba638e2ba04694
Chain,Tye Dye,Earring,Skull,Texture,White,d6ade223a4a3c94dc96d6d826971bbb4e2c85dfd1bde7d41a2bf7be88b4f7862
Chain,Pink,Earring,Moon,Texture,Gold,8134c440dbd001235a09fad26ddf35a739b42bd788f7aaac875d30c9e1588ec0
Chain,Silver,Earring,Star,Texture,Gold,d34869474cc36e59e5eaa18caa5add285e7ac23794e56cac9f79f7994f254b19
Chain,Iced,Earring,Moon,Texture,Gold,314d973d56ff385bc4f2890a8182c221220c9a0f91b65cbdecca9ded4b2864fb
Chain,Gold,Earring,Water Gun,Texture,Spiral,2bd3f2f3644fb022f53d830d3288b40f35db612a80a68ad92f075b12ec0c6290
Chain,Silver,Earring,Star,Texture,Tye Dye,07ff6aa0343f83cf82b20ecbab4db667a3845f05160117162cd559aca619015c
Chain,Gold,Earring,Moon,Texture,Tye Dye,46e24b0ef0e4f008a1ef0bd2595ba5a037ccdd4002a1a503c73f6ab3f4582950
Chain,Moss,Earring,Water Gun,Texture,Rainbow,92470a8d6c2dc290dc3b2d8cdae4c6c90172b4400575e5036b1a6c9f1adf7f6f
Chain,Iced,Earring,Lightning,Texture,Tiger,39ccecf89a65682ce6af13420a580f80043a922ac064a7c747d94a347d9dac9f
Chain,Gold,Earring,Banana,Texture,Tiger,448ea971c613a6c16315861c2024e458297196057b11de4a7177fbd5ffe8db1d
Chain,Yellow Dot,Earring,Water Gun,Texture,Iced,59ab160a18b7f1115446b15664f3f81c66612409d1ec37174cc6fa3878a1f75b
Chain,Rainbow,Earring,Star,Texture,Rasta,3e40bbb92460bf5f904b9d3b88474c240ce67f5f5cfa340b0120dea18dae23c2
Chain,Pink,Earring,Lightning,Texture,Yellow Print,1f0a81d6aeceb62b00b77af29a620b4b9711ec1888b93ece954e1641dcf6ee3a
Chain,Gold,Earring,Cross,Texture,Cow,7a1aad6662f555766a4860f9078873e7eecd1ecc5b3b2ea61418be5d28c035f7
Chain,Spiral,Earring,Heart,Texture,Smile,06fa513b18629a4a3074898d20e82b551b97aed48e2ad40f268d17eb622501c4
Chain,Spiral,Earring,Earth,Texture,Tiger,7346719c263e62757da821be5f7aff4e7b34c8d2eb2bc719cc180541dd12ad8f
Chain,Spiral,Earring,Smile,Texture,Rainbow,fb2226b7d3672e8b48c985916f66b0ab04914a1af501bfa3035d6982af73c6ba
Chain,Spiral,Earring,Skull,Texture,Tiger,8f57cf03eac105f09569cc9a19206787def13859f46d4fe100011a837bf8345b
Chain,Silver,Earring,Star,Texture,Tiger,c566053496de7795dfc825c0f8f62d26366885ad53fc67f9079d4532f997882e
Chain,Tye Dye,Earring,Moon,Texture,Yellow Dots,08ccc60c8552a9582e8736da761dcecaf9d97ac8daed56724693ed8b245eb126
Chain,Yellow Dot,Earring,Heart,Texture,Sparkle,a6249d9feaae60a10d7d0d6991f94d7a0471c3f399dc464ae104ff76b3ababdd
Chain,Silver,Earring,Earth,Texture,Spiral,2fff698119bb75386cf9a1e5960a7b96ee69e8c63c873cb813988e97dcc29253
Chain,Yellow Dot,Earring,Skull,Texture,Tye Dye,cbaba59492174bf68ccf5c096d984cd0c0cdc24b850aa35c3863f5c569c4ca88
